year,hires,terminations,net_change,net_change_percent
2000,211,26,185,99.94
2001,1082,197,885,99.98
2002,1012,162,850,99.98
2003,1088,194,894,99.98
2004,1087,199,888,99.98
2005,1038,177,861,99.98
2006,1069,175,894,99.98
2007,1058,144,914,99.99
2008,1061,140,921,99.99
2009,1094,150,944,99.99
2010,1050,125,925,99.99
2011,1057,112,945,99.99
2012,1059,108,951,99.99
2013,1042,93,949,99.99
2014,1014,88,926,99.99
2015,1011,79,932,99.99
2016,1076,68,1008,99.99
2017,1043,55,988,99.99
2018,1090,49,1041,100.00
2019,1038,50,988,100.00
2020,967,27,940,100.00
